w,m
melon,（各种）瓜
messy,凌乱的+脏的
onion ,洋葱
primitive,原始的+远古的+简陋的
pulse,脉搏+节拍
pulse,强烈而有规律地跳动+搏动
punctuation,标点符号
quilt,被子+棉被
radioactive,放射性的+有辐射能的
radioactivity,放射性
receptionist,接待员+招待员
regardless,不管+不顾
regardless of,不管+不顾
ripen,成熟
ripen,使。。。成熟+成熟
scrape,擦净+削平+磨光
scraper,刮刀+刮削器
scratch,痕迹+搔+挠
scratch,擦伤+刮坏
seashell,海贝壳
sharpen,锋利+尖锐+清晰
sharpen,使锋利+尖锐+清晰
sharpener,磨具+削具
significance,意义+意思+重要性+重要意义
skateboard,滑板
skilful,有技巧的+熟练的（美skillful）
somehow,以。。。方式+不知怎么地
spear,矛+枪
spit,吐痰
spit,吐出
starvation,挨饿+饿死
systematic,有系统的+有计划的+有条理的
tentative,试探性的+不确定的
vein,血管+静脉
worship,崇拜+敬神
worship,崇拜+敬奉
worship,崇拜+敬奉
wrinkle,皱纹
yogurt,酸乳酪+酸奶
